timestamp,symbol,source,sentiment_label,sentiment_score
2026-05-03T15:08:54Z,AXL,social,Tích cực,3.0000
2026-05-03T15:08:54Z,AXL,funding,Tích cực,3.6100
2026-05-03T15:08:54Z,ALGO,news,Bình thường,6.8050
2026-05-03T15:08:54Z,ALGO,macro,Bình thường,4.6900
2026-05-03T15:08:54Z,ALGO,social,Bình thường,3.6000
2026-05-03T15:08:54Z,ALGO,funding,Bình thường,5.2500
2026-05-03T15:08:54Z,TRUMP,news,Bình thường,6.8900
2026-05-03T15:08:54Z,TRUMP,macro,Bình thường,4.6900
2026-05-03T15:08:54Z,TRUMP,social,Bình thường,2.5800
2026-05-03T15:08:54Z,TRUMP,funding,Bình thường,4.7900
2026-05-03T15:08:55Z,NEIRO,macro,Tiêu cực,6.4900
2026-05-03T15:08:55Z,APT,news,Bình thường,5.7767
2026-05-03T15:08:55Z,NEIRO,social,Tiêu cực,3.0000
2026-05-03T15:08:55Z,APT,macro,Bình thường,6.4900
2026-05-03T15:08:55Z,NEIRO,funding,Tiêu cực,5.1200
2026-05-03T15:08:55Z,APT,social,Bình thường,3.0000
2026-05-03T15:08:55Z,APT,funding,Bình thường,5.1300
2026-05-03T15:08:55Z,ACH,news,Tích cực,7.3680
2026-05-03T15:08:55Z,PNUT,macro,Tiêu cực,6.4900
2026-05-03T15:08:55Z,ACH,macro,Tích cực,6.4900
2026-05-03T15:08:55Z,PNUT,social,Tiêu cực,3.0000
2026-05-03T15:08:55Z,ACH,social,Tích cực,3.0000
2026-05-03T15:08:55Z,LUNA,macro,Hoàn toàn tiêu cực,6.4900
2026-05-03T15:08:55Z,PNUT,funding,Tiêu cực,4.9900
2026-05-03T15:08:55Z,ACH,funding,Tích cực,3.8600
2026-05-03T15:08:55Z,LUNA,social,Hoàn toàn tiêu cực,3.0000
2026-05-03T15:08:55Z,PENDLE,news,Tích cực,8.1767
2026-05-03T15:08:55Z,PENDLE,macro,Tích cực,6.4900
2026-05-03T15:08:55Z,PENDLE,social,Tích cực,3.0000
2026-05-03T15:08:55Z,PENDLE,funding,Tích cực,5.0100
2026-05-03T15:08:55Z,ZBT,macro,Tiêu cực,6.4900
2026-05-03T15:08:55Z,ZBT,social,Tiêu cực,3.0000
2026-05-03T15:08:55Z,ZBT,funding,Tiêu cực,4.8300
2026-05-03T15:08:55Z,ZEN,macro,Tiêu cực,6.4900
2026-05-03T15:08:55Z,ZEN,social,Tiêu cực,3.0000
2026-05-03T15:08:55Z,ZEN,funding,Tiêu cực,5.0800
2026-05-03T15:08:55Z,CHZ,news,Bình thường,5.0000
2026-05-03T15:08:55Z,CHZ,macro,Bình thường,6.4900
2026-05-03T15:08:55Z,CHZ,social,Bình thường,3.0000
2026-05-03T15:08:55Z,CHZ,funding,Bình thường,4.6200
2026-05-03T15:08:55Z,XLM,news,Bình thường,5.0000
2026-05-03T15:08:55Z,XLM,macro,Bình thường,6.4900
2026-05-03T15:08:55Z,XPL,news,Bình thường,6.2644
2026-05-03T15:08:55Z,XLM,social,Bình thường,3.0000
2026-05-03T15:08:55Z,XPL,macro,Bình thường,6.4900
2026-05-03T15:08:55Z,XLM,funding,Bình thường,5.2400
2026-05-03T15:08:55Z,XPL,social,Bình thường,3.0000
2026-05-03T15:08:55Z,XVG,macro,Hoàn toàn tiêu cực,6.4900
2026-05-03T15:08:55Z,XPL,funding,Bình thường,5.0900
2026-05-03T15:08:55Z,XVG,social,Hoàn toàn tiêu cực,3.0000
2026-05-03T15:08:55Z,XVG,funding,Hoàn toàn tiêu cực,0.0000
2026-05-03T15:08:55Z,REZ,macro,Tiêu cực,6.4900
2026-05-03T15:08:55Z,REZ,social,Tiêu cực,3.0000
2026-05-03T15:08:55Z,REZ,funding,Tiêu cực,1.6900
2026-05-03T15:08:55Z,WLD,macro,Tiêu cực,6.4900
2026-05-03T15:08:55Z,WLD,social,Tiêu cực,3.0000
2026-05-03T15:08:55Z,WLD,funding,Tiêu cực,3.5900
2026-05-03T15:08:55Z,APE,news,Tích cực,7.5187
2026-05-03T15:08:55Z,APE,macro,Tích cực,6.4900
2026-05-03T15:08:55Z,APE,social,Tích cực,3.0000
2026-05-03T15:08:55Z,APE,funding,Tích cực,4.8700
2026-05-03T15:08:55Z,XUSD,macro,Hoàn toàn tiêu cực,6.4900
2026-05-03T15:08:55Z,XUSD,social,Hoàn toàn tiêu cực,3.0000
2026-05-03T15:08:55Z,AR,news,Tích cực,7.3936
2026-05-03T15:08:55Z,AR,macro,Tích cực,6.4900
2026-05-03T15:08:55Z,AR,social,Tích cực,3.0000
2026-05-03T15:08:55Z,AR,funding,Tích cực,5.1200
2026-05-03T15:08:55Z,PAXG,macro,Tiêu cực,6.4900
2026-05-03T15:08:55Z,PAXG,social,Tiêu cực,3.0000
2026-05-03T15:08:55Z,PAXG,funding,Tiêu cực,5.0400
2026-05-03T15:08:55Z,1000SATS,macro,Tiêu cực,6.4900
2026-05-03T15:08:55Z,1000SATS,social,Tiêu cực,3.0000
2026-05-03T15:08:55Z,NEAR,news,Bình thường,6.3100
2026-05-03T15:08:55Z,1000SATS,funding,Tiêu cực,5.1200
2026-05-03T15:08:55Z,NEAR,macro,Bình thường,6.4900
2026-05-03T15:08:55Z,DOT,news,Bình thường,5.0000
2026-05-03T15:08:55Z,NEAR,social,Bình thường,3.0000
2026-05-03T15:08:55Z,DOT,macro,Bình thường,6.4900
2026-05-03T15:08:55Z,NEAR,funding,Bình thường,4.7600
2026-05-03T15:08:55Z,USTC,macro,Tiêu cực,6.4900
2026-05-03T15:08:55Z,DOT,social,Bình thường,3.0000
2026-05-03T15:08:55Z,USTC,social,Tiêu cực,3.0000
2026-05-03T15:08:55Z,DOT,funding,Bình thường,4.8800
2026-05-03T15:08:55Z,USTC,funding,Tiêu cực,4.9400
2026-05-03T15:08:56Z,UNI,news,Tích cực,7.4906
2026-05-03T15:08:56Z,UNI,macro,Tích cực,6.4900
2026-05-03T15:08:56Z,UNI,social,Tích cực,3.0000
2026-05-03T15:08:56Z,UNI,funding,Tích cực,5.2500
2026-05-03T15:08:56Z,GNO,news,Tiêu cực,5.0000
2026-05-03T15:08:56Z,GNO,macro,Tiêu cực,6.4900
2026-05-03T15:08:56Z,GNO,social,Tiêu cực,3.0000
2026-05-03T15:08:56Z,INJ,news,Tích cực,9.9000
2026-05-03T15:08:56Z,FORM,news,Tích cực,8.7740
2026-05-03T15:08:56Z,INJ,macro,Tích cực,6.4900
2026-05-03T15:08:56Z,FORM,macro,Tích cực,6.4900
2026-05-03T15:08:56Z,INJ,social,Tích cực,3.0000
2026-05-03T15:08:56Z,FORM,social,Tích cực,3.0000
2026-05-03T15:08:56Z,RENDER,news,Bình thường,5.0000
2026-05-03T15:08:56Z,INJ,funding,Tích cực,4.7900
2026-05-03T15:08:56Z,FORM,funding,Tích cực,5.1200
2026-05-03T15:08:56Z,RENDER,macro,Bình thường,6.4900
2026-05-03T15:08:56Z,RENDER,social,Bình thường,3.0000
2026-05-03T15:08:56Z,RENDER,funding,Bình thường,4.9000
2026-05-03T15:08:56Z,NFP,macro,Tiêu cực,6.4900
